sent_uid,filing_id,year,quarter,sentence,suggested_risk_terms,gold_risk_terms
18,0000018230_0000018230-08-000275,2008,2008Q3,"Interest rate changes affect overall economic growth, which alter demand for residential and nonresidential structures, energy and mined products, which in turn affect sales of our products that serve these activities.",,
19,0001002910_0001193125-09-042636,2009,2009Q1,Some Ameren Companies may therefore be more or less hedged than if they were to engage in such hedging alone.,,
20,0001130310_0001130310-09-000049,2009,2009Q4,A significant portion of CenterPoint Houston’s revenues is derived from rates that it collects from each REP based on the amount of electricity it delivers on behalf of such REP.,,
21,0001130310_0001130310-09-000049,2009,2009Q4,An increase in natural gas prices would also increase CERC’s working capital requirements by increasing the investment that must be made in order to maintain natural gas inventory levels.,,
22,0000858877_0001193125-11-319161,2011,2011Q4,We continue to manage our business primarily on a geographic basis.,,
23,0001365135_0000950170-25-057339,2025,2025Q2,"There have been no material changes to the risk factors described in our Annual Report on Form 10‑K for the year ended December 31, 2024.",to the risk,
24,0001144215_0001144215-15-000120,2015,2015Q4,"The Company and certain of its third-party vendors may receive and store personal information in connection with human resources operations, customer offerings, and other aspects of the business.",,
25,0000723254_0001047469-10-006785,2010,2010Q3,The effects of credit market volatility and changes in our credit ratings could adversely affect our liquidity and results of operation.,credit market volatility,
26,0001013237_0001628280-25-045769,2025,2025Q4,"As previously disclosed in our Annual Report on Form 10-K for the fiscal year ended August 31, 2024, we identified a material weakness in our internal control over financial reporting related to the design and operation of our information technology (“IT”) general controls that support our revenues, accounts receivable, and deferred revenues processes.",,
27,0001071739_0001071739-25-000150,2025,2025Q3,"Also, if legislation increasing the federal debt ceiling is not enacted and the debt ceiling is reached, the federal government may stop or delay making payments on its obligations.",,
28,0001096343_0001096343-25-000153,2025,2025Q4,"companies and their affiliates are more restrictive than, or conflict with, those applicable to non-U.S.",,
29,0001123360_0001123360-25-000077,2025,2025Q4,"See ""Note 15—Commitments and Contingencies"" in the notes to the accompanying unaudited consolidated financial statements for information about certain legal matters.",,
30,0000866787_0000950123-09-053232,2009,2009Q4,Significant fluctuations in their level of ownership could have an impact on our share price.,,
31,0001143513_0001143513-25-000012,2025,2025Q3,goods imported by foreign countries could subject us or our portfolio companies to additional risks.,to additional risks,
32,0001475922_0000950170-25-104779,2025,2025Q3,"Our business is subject to many laws, regulations and government policies that could relate to, among other things, consumer protection, fair credit reporting, financial privacy, consumer fraud, anti-money laundering, worker classification standards, worker eligibility, corporate taxation, artificial intelligence or algorithmic underwriting, and transactions with certain countries.",,
33,0001144215_0001144215-15-000120,2015,2015Q4,Risks Related to the Company's Strategy Acuity Brand’s results may be adversely affected by the Company’s inability to maintain pricing.,,
34,0000899051_0001104659-13-035969,2013,2013Q2,"These forward-looking statements do not relate strictly to historical or current facts and may be identified by their use of words like “plans,” “seeks,” “expects,” “will,” “should,” “anticipates,” “estimates,” “intends,” “believes,” “likely,” “targets” and other words with similar meanings.",,
35,0000883241_0000883241-25-000024,2025,2025Q3,• We may be subject to litigation proceedings that could harm our business.,,
36,0001326003_0001193125-15-077872,2015,2015Q1,"If our Advisor resigns, we may not be able to find a new investment adviser or hire internal management with similar expertise and ability to provide the same or equivalent services on acceptable terms within 60 days, or at all.",,
37,0000093410_0000950134-07-022949,2007,2007Q4,"Chevron is a major fully integrated petroleum company with a diversified business portfolio, strong balance sheet, and history of generating sufficient cash to fund capital and exploratory expenditures and to pay dividends.",,
38,0000899051_0001104659-13-035969,2013,2013Q2,"These statements may address, among other things, our strategy for growth, catastrophe exposure management, product development, investment results, regulatory approvals, market position, expenses, financial results, litigation and reserves.",,
39,0000008858_0000950123-11-041821,2011,2011Q2,"Except as required by law, the Company assumes no obligation to update any forward-looking statement to reflect events or circumstances that occur after the date on which the statement is made.",,
40,0000049196_0000049196-25-000063,2025,2025Q3,Huntington enters into transactions with broker-dealers and banks for various risk management purposes.,for various risk,
41,0001090872_0001090872-12-000006,2012,2012Q3,"Our results of operations, as well as our liquidity, may be adversely affected and possible delays may occur in reporting financial results.",,
42,0001130310_0001130310-20-000084,2020,2020Q3,"As such, sustained low energy and commodity prices could have an adverse impact on our financial condition, results of operations, cash flows and liquidity.",,
43,0000350698_0000350698-13-000140,2013,2013Q3,"The Dodd-Frank Wall Street Reform and Consumer Protection Act (the “Dodd-Frank Act”), which was signed into law on July 21, 2010, established the Consumer Financial Protection Bureau (the “CFPB”), a new independent federal agency funded by the United States Federal Reserve with broad regulatory powers and limited oversight from the United States Congress.",,
44,0001143513_0001143513-25-000012,2025,2025Q3,The risks described in this section and our Annual Report are not the only risks we face.,the only risks,
45,0000093410_0000950134-07-022949,2007,2007Q4,"Information about risk factors for the nine months ended September 30, 2007, does not differ materially from that set forth in Part I, Item 1A, of Chevron’s Annual Report on Form 10-K for 2006.",Information about risk,
46,0001327567_0001327567-24-000040,2024,2024Q4,- 50 - Table of Contents Managing the supply of our hardware products and product components is complex.,,
47,0001327567_0001327567-24-000040,2024,2024Q4,"Existing end-customers have no contractual obligation to, and may not, renew their subscription and support contracts after the completion of their initial contract period.",,
48,0001475922_0000950170-25-104779,2025,2025Q3,The following replaces the heading in our 2024 Annual Report that states “Risks Related to Legislative and Regulatory Changes” and that first risk factor contained under that heading.,that states Risks; that first risk,
49,0000008670_0000008670-18-000011,2018,2018Q3,"Complying with these laws and requirements, including the enhanced obligations imposed by the GDPR and our BCRs, may result in significant costs to our business and require us to amend certain of our business practices.",,
50,0000858877_0001193125-12-244195,2012,2012Q2,"As of April 28, 2012, the total carrying amount of our investments in privately held companies was $841 million, compared with $796 million at July 30, 2011.",,
51,0000764180_0000764180-14-000036,2014,2014Q2,"Other than as set forth in Part I,",,
52,0000093410_0000093410-14-000042,2014,2014Q3,"Chevron is a global energy company with a diversified business portfolio, a strong balance sheet, and a history of generating sufficient cash to fund capital and exploratory expenditures and to pay dividends.",,
53,0001130310_0001130310-20-000084,2020,2020Q3,"A s many of our employees and third-party service providers work remotely in accordance with government mandates or guidelines, we face heightened cyber security and privacy risks related to unauthorized system access, aggressive social engineering tactics and adversaries attacking the information technology systems, network infrastructure, technology and facilities used to conduct our business.",and privacy risks,
54,0000764180_0000764180-14-000036,2014,2014Q2,"of our Annual Report on Form 10-K for the year ended December 31, 2013 (“Form 10-K”).",,
55,0000049196_0000049196-25-000063,2025,2025Q3,"Table 16 - Economic Value of Equity at Risk Economic Value of Equity at Risk (%) Basis point change scenario -200 -100 +100 +200 At June 30, 2025 0.7 % 2.0 % -3.9 % -9.0 % At December 31, 2024 5.9 4.3 -5.8 -12.6 The change in sensitivity from December 31, 2024 was driven primarily by market rates and changes to actual balance sheet composition.",Equity at Risk,
56,0000858877_0001193125-12-244195,2012,2012Q2,Some of our sales arrangements have multiple deliverables containing software and related software support components.,,
57,0000008670_0000008670-18-000011,2018,2018Q3,Changes in taxation regulations could adversely affect our effective tax rate and our net income.,,
58,0001858681_0001858681-25-000034,2025,2025Q1,"If a subsidiary’s solvency or capital ratios reach certain minimum levels, it could subject us to further examination or corrective action imposed by our insurance regulators.",,
59,0000002969_0000002969-20-000019,2020,2020Q2,within this Quarterly Report on Form 10-Q for additional discussion of current and potential risks of the COVID-19 pandemic on our business and financial performance.,and potential risks,
60,0001164727_0001164727-25-000011,2025,2025Q1,"In addition, we are subject to various legislation, regulations, directives and guidelines from federal, state, local and foreign agencies, that are intended to strengthen cybersecurity measures required for information and operational technology, and that apply to the collection, use, retention, protection, disclosure, transfer and other processing of personal information.",,
61,0000004962_0001193125-09-162246,2009,2009Q3,"While the Company anticipates making certain changes to its product terms and practices that are designed to mitigate the impact of the changes required by the CARD Act, there is no assurance that it will be successful.",,
62,0000023217_0001558370-24-009764,2024,2024Q3,"We procure a wide spectrum of commodities globally and in the past have faced increased prices for commodities sourced from nations that have been impacted by trade disputes, tariffs, or sanctions.",,
63,0000352541_0000352541-13-000026,2013,2013Q4,"Alliant Energy, IPL and WPL also do not offset fair value amounts recognized for the right to reclaim cash collateral (receivable) or the obligation to return cash collateral (payable) against fair value amounts recognized for derivative instruments executed with the same counterparty under the same master netting arrangement.",,
64,0001018963_0001018963-17-000034,2017,2017Q4,"After termination, the union may authorize a strike.",,
65,0000004962_0001193125-09-162246,2009,2009Q3,Additional risks and uncertainties not presently known to us or that we currently believe to be immaterial may also adversely affect the Company’s business and the trading price of its securities.,risks and uncertainties,
66,0000023217_0001558370-24-009764,2024,2024Q3,"Additionally, we are subject to data privacy and security regulations, tax and securities regulations, accounting and reporting standards, and other financial laws and regulations.",,
67,0000004962_0001193125-09-218953,2009,2009Q4,"Accordingly, the ability of the Company’s securitization programs to receive or maintain AAA ratings on ABS securities under the same terms and conditions as it has done in the past, or at all, is subject to uncertainty.",subject to uncertainty,
68,0000017843_0001193125-11-231043,2011,2011Q3,"However, these are not the only risks or uncertainties that could affect our business.",the only risks; risks or uncertainties,
69,0001002910_0001193125-09-042636,2009,2009Q1,"All of these risks may have a material adverse effect on the Ameren Companies’ results of operations, financial position, or liquidity.",of these risks,
70,0000018230_0000018230-08-000275,2008,2008Q3,"Natural Disasters The occurrence of one or more natural disasters, such as tornadoes, hurricanes, earthquakes and other forms of severe weather in the U.S.",,
71,0000885725_0000885725-14-000022,2014,2014Q3,"RISK FACTORS In addition to the other information set forth below and other information contained elsewhere in this report, you should carefully consider the factors discussed in “Part I, Item 1A.",,
72,0000350698_0000350698-13-000140,2013,2013Q3,"With respect to motor vehicle sales, retail installment sales, leasing, and the sale of finance, insurance, and vehicle protection products at our stores, we are subject to various laws and regulations, the violation of which could subject us to consumer class action or other lawsuits or governmental investigations and adverse publicity, in addition to administrative, civil, or criminal sanctions.",,
73,0000883241_0000883241-25-000024,2025,2025Q3,• Liquidity requirements in our U.S.,,
74,0000866787_0000950123-09-053232,2009,2009Q4,Annual revenue growth is driven by the opening of new stores and increases in same-store sales.,,
75,0000723254_0001047469-10-006785,2010,2010Q3,"Our operating cash flows, combined with access to the credit markets, provide us with significant discretionary funding capacity.",,
76,0000927628_0001193125-07-044343,2007,2007Q1,"We face the risk that changes in interest rates could reduce our net interest income and our earnings in material amounts, especially if actual conditions turn out to be materially different than those we assumed.",face the risk,
77,0001659166_0001659166-25-000120,2025,2025Q3,"federal statutory rate of 21% due primarily to the impact of credits and deductions provided by law, including those associated with state income taxes, and changes in our uncertain tax position reserves.",,
78,0000012927_0000012927-19-000077,2019,2019Q4,"The grounding has reduced revenues, operating margins, and cash flows, and will continue to do so until deliveries resume and production rates increase.",,
79,0000093410_0000093410-14-000042,2014,2014Q3,"Nevertheless, some inherent risks could materially impact the company’s financial results of operations or financial condition.",some inherent risks,
80,0001096343_0001096343-25-000153,2025,2025Q4,"There were no other changes in our internal control over financial reporting during the third quarter of 2025 that materially affected, or are reasonably likely to materially affect, our internal control over financial reporting.",,
81,0000050725_0000050725-25-000065,2025,2025Q2,"Due to the current and expected level of borrowings under these facilities, a 100 basis point change in SONIA, SOFR, BBSY, or CORRA would not have a material impact on Griffon’s results of operations or liquidity.",,
82,0000017843_0001193125-11-231043,2011,2011Q3,"We value most of our inventory using the LIFO method, which could be repealed resulting in adverse affects on our cash flows and financial condition.",,
83,0000093410_0000891618-09-000166,2009,2009Q2,"Information about risk factors for the three months ended March 31, 2009, does not differ materially from that set forth in Part I, Item 1A, of Chevron’s 2008 Annual Report on Form 10-K.",Information about risk,
84,0000002969_0001193125-14-423115,2014,2014Q4,"federal, and/or regional requirements to reduce or mitigate the effects of GHG.",,
85,0000008858_0000950123-11-041821,2011,2011Q2,"You can find many of these statements by looking for words like “believes,” “plans,” “expects,” “anticipates,” “should,” “will,” “may,” “estimates” or similar expressions in this Report or in documents incorporated by reference in this Report.",,
86,0000927628_0001193125-07-044343,2007,2007Q1,"However, the value of the collateral may not be sufficient to compensate us for the amount of the unpaid loan and we may be unsuccessful in recovering the remaining balance from our customers.",,
87,0001090872_0001090872-12-000006,2012,2012Q3,"If conditions change in those countries, it may adversely affect operations, including impairing our ability to pay our suppliers and collect our receivables.",,
88,0001018963_0001018963-17-000034,2017,2017Q4,"At various times, our collective bargaining agreements with unions expire and are subject to renegotiation.",,
89,0000012927_0000012927-19-000077,2019,2019Q4,The FAA and other civil aviation authorities worldwide will determine the timing and conditions of return to service in each relevant jurisdiction.,,
